27/08/12 17:06
Estatística do projeto

                           	Segmentos	Palavras	Caracteres (sem espaços)	Caracteres (incluindo espaços)	
Total de palavras          	     5089	   44851	                  242711	                        283094	
Restantes:                 	     4290	   42781	                  231239	                        270365	
Únicos:                    	     4268	   41260	                  222459	                        259929	
Segmentos únicos restantes:	     3674	   39486	                  212804	                        249108	


Estatística do arquivo individual:

Nome do arquivo                                                                                                                 	Total de segmentos 	Segmentos restantes	Segmentos únicos	Segmentos únicos restantes	Total de palavras	Palavras restantes para traduzir	Palavras únicas	Palavras únicas restantes	Total de caracteres (sem espaços)	Caracteres restantes (sem espaços)	Caracteres únicos (sem espaços)	Caracteres únicos restantes (sem espaços)	Total de caracteres (incluindo espaços)	Caracteres restantes (incluindo espaços)	Caracteres únicos (incluindo espaços)	Caracteres únicos restantes (incluindo espaços)	
org\sonar\l10n\findbugs\rules\findbugs\RR_NOT_CHECKED.html                                                                      	                  1	                  1	               1	                         1	               77	                              77	             77	                       77	                              389	                               389	                            389	                                      389	                                    467	                                     467	                                  467	                                            467	
org\sonar\l10n\findbugs\rules\findbugs\RS_READOBJECT_SYNC.html                                                                  	                  1	                  1	               1	                         1	               57	                              57	             57	                       57	                              303	                               303	                            303	                                      303	                                    361	                                     361	                                  361	                                            361	
org\sonar\l10n\findbugs\rules\findbugs\RU_INVOKE_RUN.html                                                                       	                  1	                  1	               1	                         1	               39	                              39	             39	                       39	                              198	                               198	                            198	                                      198	                                    237	                                     237	                                  237	                                            237	
org\sonar\l10n\findbugs\rules\findbugs\RV_01_TO_INT.html                                                                        	                  2	                  2	               2	                         2	               38	                              38	             38	                       38	                              167	                               167	                            167	                                      167	                                    202	                                     202	                                  202	                                            202	
org\sonar\l10n\findbugs\rules\findbugs\RV_ABSOLUTE_VALUE_OF_HASHCODE.html                                                       	                  2	                  2	               2	                         2	               31	                              31	             31	                       31	                              192	                               192	                            192	                                      192	                                    221	                                     221	                                  221	                                            221	
org\sonar\l10n\findbugs\rules\findbugs\RV_ABSOLUTE_VALUE_OF_RANDOM_INT.html                                                     	                  2	                  2	               2	                         2	               40	                              40	             40	                       40	                              240	                               240	                            240	                                      240	                                    278	                                     278	                                  278	                                            278	
org\sonar\l10n\findbugs\rules\findbugs\RV_CHECK_COMPARETO_FOR_SPECIFIC_RETURN_VALUE.html                                        	                  3	                  3	               3	                         3	               65	                              65	             65	                       65	                              284	                               284	                            284	                                      284	                                    346	                                     346	                                  346	                                            346	
org\sonar\l10n\findbugs\rules\findbugs\RV_CHECK_FOR_POSITIVE_INDEXOF.html                                                       	                  3	                  3	               3	                         3	               52	                              52	             52	                       52	                              239	                               239	                            239	                                      239	                                    288	                                     288	                                  288	                                            288	
org\sonar\l10n\findbugs\rules\findbugs\RV_DONT_JUST_NULL_CHECK_READLINE.html                                                    	                  3	                  3	               3	                         3	               43	                              43	             43	                       43	                              206	                               206	                            206	                                      206	                                    246	                                     246	                                  246	                                            246	
org\sonar\l10n\findbugs\rules\findbugs\RV_EXCEPTION_NOT_THROWN.html                                                             	                  7	                  7	               6	                         6	               50	                              50	             47	                       47	                              276	                               276	                            269	                                      269	                                    319	                                     319	                                  309	                                            309	
org\sonar\l10n\findbugs\rules\findbugs\RV_NEGATING_RESULT_OF_COMPARETO.html                                                     	                  3	                  3	               3	                         3	               58	                              58	             58	                       58	                              293	                               293	                            293	                                      293	                                    348	                                     348	                                  348	                                            348	
org\sonar\l10n\findbugs\rules\findbugs\RV_REM_OF_HASHCODE.html                                                                  	                  6	                  6	               6	                         6	              118	                             118	            118	                      118	                              559	                               559	                            559	                                      559	                                    666	                                     666	                                  666	                                            666	
org\sonar\l10n\findbugs\rules\findbugs\RV_REM_OF_RANDOM_INT.html                                                                	                  3	                  3	               3	                         3	               49	                              49	             49	                       49	                              259	                               259	                            259	                                      259	                                    304	                                     304	                                  304	                                            304	
org\sonar\l10n\findbugs\rules\findbugs\RV_RETURN_VALUE_IGNORED_BAD_PRACTICE.html                                                	                  4	                  4	               4	                         4	               67	                              67	             67	                       67	                              359	                               359	                            359	                                      359	                                    422	                                     422	                                  422	                                            422	
org\sonar\l10n\findbugs\rules\findbugs\RV_RETURN_VALUE_IGNORED_INFERRED.html                                                    	                  5	                  5	               5	                         5	              108	                             108	            108	                      108	                              511	                               511	                            511	                                      511	                                    614	                                     614	                                  614	                                            614	
org\sonar\l10n\findbugs\rules\findbugs\RV_RETURN_VALUE_IGNORED.html                                                             	                  8	                  8	               8	                         8	               89	                              89	             89	                       89	                              510	                               510	                            510	                                      510	                                    590	                                     590	                                  590	                                            590	
org\sonar\l10n\findbugs\rules\findbugs\RV_RETURN_VALUE_IGNORED2.html                                                            	                  8	                  8	               0	                         0	               89	                              89	              0	                        0	                              510	                               510	                              0	                                        0	                                    590	                                     590	                                    0	                                              0	
org\sonar\l10n\findbugs\rules\findbugs\RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED.html                                              	                  3	                  3	               3	                         3	               87	                              87	             87	                       87	                              367	                               367	                            367	                                      367	                                    451	                                     451	                                  451	                                            451	
org\sonar\l10n\findbugs\rules\findbugs\SA_FIELD_DOUBLE_ASSIGNMENT.html                                                          	                  6	                  6	               5	                         5	               34	                              34	             34	                       34	                              143	                               143	                            142	                                      142	                                    174	                                     174	                                  173	                                            173	
org\sonar\l10n\findbugs\rules\findbugs\SA_FIELD_SELF_ASSIGNMENT.html                                                            	                  6	                  6	               4	                         4	               29	                              29	             26	                       26	                              130	                               130	                            113	                                      113	                                    156	                                     156	                                  136	                                            136	
org\sonar\l10n\findbugs\rules\findbugs\SA_FIELD_SELF_COMPARISON.html                                                            	                  2	                  2	               2	                         2	               25	                              25	             25	                       25	                              110	                               110	                            110	                                      110	                                    133	                                     133	                                  133	                                            133	
org\sonar\l10n\findbugs\rules\findbugs\SA_FIELD_SELF_COMPUTATION.html                                                           	                  3	                  3	               3	                         3	               47	                              47	             47	                       47	                              229	                               229	                            229	                                      229	                                    273	                                     273	                                  273	                                            273	
org\sonar\l10n\findbugs\rules\findbugs\SA_LOCAL_DOUBLE_ASSIGNMENT.html                                                          	                  6	                  6	               2	                         2	               38	                              38	             29	                       29	                              166	                               166	                            135	                                      135	                                    201	                                     201	                                  162	                                            162	
org\sonar\l10n\findbugs\rules\findbugs\SA_LOCAL_SELF_ASSIGNMENT_INSTEAD_OF_FIELD.html                                           	                  8	                  8	               7	                         7	               47	                              47	             47	                       47	                              218	                               218	                            217	                                      217	                                    260	                                     260	                                  259	                                            259	
org\sonar\l10n\findbugs\rules\findbugs\SA_LOCAL_SELF_ASSIGNMENT.html                                                            	                  6	                  6	               2	                         2	               31	                              31	             14	                       14	                              140	                               140	                             61	                                       61	                                    169	                                     169	                                   74	                                             74	
org\sonar\l10n\findbugs\rules\findbugs\SA_LOCAL_SELF_COMPARISON.html                                                            	                  2	                  2	               1	                         1	               26	                              26	             17	                       17	                              118	                               118	                             76	                                       76	                                    142	                                     142	                                   92	                                             92	
org\sonar\l10n\findbugs\rules\findbugs\SA_LOCAL_SELF_COMPUTATION.html                                                           	                  3	                  3	               1	                         1	               48	                              48	             21	                       21	                              240	                               240	                            110	                                      110	                                    285	                                     285	                                  130	                                            130	
org\sonar\l10n\findbugs\rules\findbugs\SBSC_USE_STRINGBUFFER_CONCATENATION.html                                                 	                 16	                 16	              12	                        12	              106	                             106	             97	                       97	                              546	                               546	                            502	                                      502	                                    648	                                     648	                                  594	                                            594	
org\sonar\l10n\findbugs\rules\findbugs\SC_START_IN_CTOR.html                                                                    	                  2	                  2	               2	                         2	               30	                              30	             30	                       30	                              150	                               150	                            150	                                      150	                                    177	                                     177	                                  177	                                            177	
org\sonar\l10n\findbugs\rules\findbugs\SE_BAD_FIELD_INNER_CLASS.html                                                            	                  4	                  4	               4	                         4	               87	                              87	             87	                       87	                              432	                               432	                            432	                                      432	                                    515	                                     515	                                  515	                                            515	
org\sonar\l10n\findbugs\rules\findbugs\SE_BAD_FIELD_STORE.html                                                                  	                  1	                  1	               1	                         1	               13	                              13	             13	                       13	                               74	                                74	                             74	                                       74	                                     86	                                      86	                                   86	                                             86	
org\sonar\l10n\findbugs\rules\findbugs\SE_BAD_FIELD.html                                                                        	                  2	                  2	               2	                         2	               48	                              48	             48	                       48	                              298	                               298	                            298	                                      298	                                    344	                                     344	                                  344	                                            344	
org\sonar\l10n\findbugs\rules\findbugs\SE_COMPARATOR_SHOULD_BE_SERIALIZABLE.html                                                	                  4	                  4	               4	                         4	               64	                              64	             64	                       64	                              353	                               353	                            353	                                      353	                                    413	                                     413	                                  413	                                            413	
org\sonar\l10n\findbugs\rules\findbugs\SE_INNER_CLASS.html                                                                      	                  4	                  4	               4	                         4	               58	                              58	             58	                       58	                              288	                               288	                            288	                                      288	                                    342	                                     342	                                  342	                                            342	
org\sonar\l10n\findbugs\rules\findbugs\SE_METHOD_MUST_BE_PRIVATE.html                                                           	                  2	                  2	               2	                         2	               31	                              31	             31	                       31	                              200	                               200	                            200	                                      200	                                    227	                                     227	                                  227	                                            227	
org\sonar\l10n\findbugs\rules\findbugs\SE_NO_SERIALVERSIONID.html                                                               	                  3	                  3	               3	                         3	               90	                              90	             90	                       90	                              544	                               544	                            544	                                      544	                                    629	                                     629	                                  629	                                            629	
org\sonar\l10n\findbugs\rules\findbugs\SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION.html                                      	                  3	                  3	               3	                         3	               43	                              43	             43	                       43	                              255	                               255	                            255	                                      255	                                    295	                                     295	                                  295	                                            295	
org\sonar\l10n\findbugs\rules\findbugs\SE_NO_SUITABLE_CONSTRUCTOR.html                                                          	                  3	                  3	               3	                         3	               48	                              48	             48	                       48	                              267	                               267	                            267	                                      267	                                    312	                                     312	                                  312	                                            312	
org\sonar\l10n\findbugs\rules\findbugs\SE_NONFINAL_SERIALVERSIONID.html                                                         	                  1	                  1	               1	                         1	               29	                              29	             29	                       29	                              141	                               141	                            141	                                      141	                                    170	                                     170	                                  170	                                            170	
org\sonar\l10n\findbugs\rules\findbugs\SE_NONLONG_SERIALVERSIONID.html                                                          	                  1	                  1	               1	                         1	               29	                              29	             29	                       29	                              139	                               139	                            139	                                      139	                                    168	                                     168	                                  168	                                            168	
org\sonar\l10n\findbugs\rules\findbugs\SE_NONSTATIC_SERIALVERSIONID.html                                                        	                  1	                  1	               1	                         1	               29	                              29	             29	                       29	                              143	                               143	                            143	                                      143	                                    172	                                     172	                                  172	                                            172	
org\sonar\l10n\findbugs\rules\findbugs\SE_PRIVATE_READ_RESOLVE_NOT_INHERITED.html                                               	                  3	                  3	               3	                         3	               34	                              34	             34	                       34	                              164	                               164	                            164	                                      164	                                    195	                                     195	                                  195	                                            195	
org\sonar\l10n\findbugs\rules\findbugs\SE_READ_RESOLVE_IS_STATIC.html                                                           	                  1	                  1	               1	                         1	               22	                              22	             22	                       22	                              107	                               107	                            107	                                      107	                                    128	                                     128	                                  128	                                            128	
org\sonar\l10n\findbugs\rules\findbugs\SE_READ_RESOLVE_MUST_RETURN_OBJECT.html                                                  	                  1	                  1	               1	                         1	               24	                              24	             24	                       24	                              114	                               114	                            114	                                      114	                                    137	                                     137	                                  137	                                            137	
org\sonar\l10n\findbugs\rules\findbugs\SE_TRANSIENT_FIELD_NOT_RESTORED.html                                                     	                  2	                  2	               2	                         2	               54	                              54	             54	                       54	                              242	                               242	                            242	                                      242	                                    294	                                     294	                                  294	                                            294	
org\sonar\l10n\findbugs\rules\findbugs\SE_TRANSIENT_FIELD_OF_NONSERIALIZABLE_CLASS.html                                         	                  2	                  2	               2	                         2	               48	                              48	             48	                       48	                              238	                               238	                            238	                                      238	                                    284	                                     284	                                  284	                                            284	
org\sonar\l10n\findbugs\rules\findbugs\SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH_TO_THROW.html                                    	                  2	                  2	               2	                         2	               44	                              44	             44	                       44	                              172	                               172	                            172	                                      172	                                    214	                                     214	                                  214	                                            214	
org\sonar\l10n\findbugs\rules\findbugs\SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH.html                                             	                  2	                  2	               1	                         1	               36	                              36	             17	                       17	                              144	                               144	                             76	                                       76	                                    178	                                     178	                                   92	                                             92	
org\sonar\l10n\findbugs\rules\findbugs\SF_SWITCH_FALLTHROUGH.html                                                               	                  2	                  2	               2	                         2	               29	                              29	             29	                       29	                              127	                               127	                            127	                                      127	                                    154	                                     154	                                  154	                                            154	
org\sonar\l10n\findbugs\rules\findbugs\SF_SWITCH_NO_DEFAULT.html                                                                	                  2	                  2	               2	                         2	               19	                              19	             19	                       19	                               96	                                96	                             96	                                       96	                                    113	                                     113	                                  113	                                            113	
org\sonar\l10n\findbugs\rules\findbugs\SI_INSTANCE_BEFORE_FINALS_ASSIGNED.html                                                  	                  1	                  1	               1	                         1	               19	                              19	             19	                       19	                               97	                                97	                             97	                                       97	                                    115	                                     115	                                  115	                                            115	
org\sonar\l10n\findbugs\rules\findbugs\SIC_INNER_SHOULD_BE_STATIC_ANON.html                                                     	                  2	                  2	               2	                         2	               78	                              78	             78	                       78	                              368	                               368	                            368	                                      368	                                    446	                                     446	                                  446	                                            446	
org\sonar\l10n\findbugs\rules\findbugs\SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS.html                                               	                  2	                  2	               2	                         2	              100	                             100	            100	                      100	                              474	                               474	                            474	                                      474	                                    574	                                     574	                                  574	                                            574	
org\sonar\l10n\findbugs\rules\findbugs\SIC_INNER_SHOULD_BE_STATIC.html                                                          	                  1	                  1	               1	                         1	               49	                              49	             49	                       49	                              233	                               233	                            233	                                      233	                                    283	                                     283	                                  283	                                            283	
org\sonar\l10n\findbugs\rules\findbugs\SIC_THREADLOCAL_DEADLY_EMBRACE.html                                                      	                  4	                  4	               4	                         4	               81	                              81	             81	                       81	                              365	                               365	                            365	                                      365	                                    442	                                     442	                                  442	                                            442	
org\sonar\l10n\findbugs\rules\findbugs\SIO_SUPERFLUOUS_INSTANCEOF.html                                                          	                  1	                  1	               1	                         1	               21	                              21	             21	                       21	                              113	                               113	                            113	                                      113	                                    133	                                     133	                                  133	                                            133	
org\sonar\l10n\findbugs\rules\findbugs\SKIPPED_CLASS_TOO_BIG.html                                                               	                  1	                  1	               1	                         1	               16	                              16	             16	                       16	                               77	                                77	                             77	                                       77	                                     92	                                      92	                                   92	                                             92	
org\sonar\l10n\findbugs\rules\findbugs\SP_SPIN_ON_FIELD.html                                                                    	                  1	                  1	               1	                         1	               43	                              43	             43	                       43	                              200	                               200	                            200	                                      200	                                    244	                                     244	                                  244	                                            244	
org\sonar\l10n\findbugs\rules\findbugs\SQL_BAD_PREPARED_STATEMENT_ACCESS.html                                                   	                  2	                  2	               2	                         2	               30	                              30	             30	                       30	                              126	                               126	                            126	                                      126	                                    154	                                     154	                                  154	                                            154	
org\sonar\l10n\findbugs\rules\findbugs\SQL_BAD_RESULTSET_ACCESS.html                                                            	                  2	                  2	               2	                         2	               31	                              31	             31	                       31	                              124	                               124	                            124	                                      124	                                    153	                                     153	                                  153	                                            153	
org\sonar\l10n\findbugs\rules\findbugs\SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE.html                                            	                  3	                  3	               3	                         3	               36	                              36	             36	                       36	                              188	                               188	                            188	                                      188	                                    221	                                     221	                                  221	                                            221	
org\sonar\l10n\findbugs\rules\findbugs\SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING.html                            	                  2	                  2	               2	                         2	               39	                              39	             39	                       39	                              203	                               203	                            203	                                      203	                                    240	                                     240	                                  240	                                            240	
org\sonar\l10n\findbugs\rules\findbugs\SR_NOT_CHECKED.html                                                                      	                  2	                  2	               2	                         2	               95	                              95	             95	                       95	                              486	                               486	                            486	                                      486	                                    581	                                     581	                                  581	                                            581	
org\sonar\l10n\findbugs\rules\findbugs\SS_SHOULD_BE_STATIC.html                                                                 	                  2	                  2	               2	                         2	               20	                              20	             20	                       20	                              110	                               110	                            110	                                      110	                                    128	                                     128	                                  128	                                            128	
org\sonar\l10n\findbugs\rules\findbugs\ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD.html                                             	                  2	                  2	               2	                         2	               24	                              24	             24	                       24	                              126	                               126	                            126	                                      126	                                    148	                                     148	                                  148	                                            148	
org\sonar\l10n\findbugs\rules\findbugs\STCAL_INVOKE_ON_STATIC_CALENDAR_INSTANCE.html                                            	                  6	                  6	               6	                         6	               65	                              65	             65	                       65	                              370	                               370	                            370	                                      370	                                    419	                                     419	                                  419	                                            419	
org\sonar\l10n\findbugs\rules\findbugs\STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE.html                                         	                  6	                  6	               2	                         2	               58	                              58	             30	                       30	                              346	                               346	                            152	                                      152	                                    388	                                     388	                                  180	                                            180	
org\sonar\l10n\findbugs\rules\findbugs\STCAL_STATIC_CALENDAR_INSTANCE.html                                                      	                  8	                  8	               4	                         4	               96	                              96	             53	                       53	                              666	                               666	                            396	                                      396	                                    744	                                     744	                                  445	                                            445	
org\sonar\l10n\findbugs\rules\findbugs\STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE.html                                            	                  7	                  7	               0	                         0	               66	                              66	              0	                        0	                              436	                               436	                              0	                                        0	                                    485	                                     485	                                    0	                                              0	
org\sonar\l10n\findbugs\rules\findbugs\STI_INTERRUPTED_ON_CURRENTTHREAD.html                                                    	                  2	                  2	               2	                         2	               26	                              26	             26	                       26	                              157	                               157	                            157	                                      157	                                    181	                                     181	                                  181	                                            181	
org\sonar\l10n\findbugs\rules\findbugs\STI_INTERRUPTED_ON_UNKNOWNTHREAD.html                                                    	                  2	                  2	               2	                         2	               45	                              45	             45	                       45	                              226	                               226	                            226	                                      226	                                    269	                                     269	                                  269	                                            269	
org\sonar\l10n\findbugs\rules\findbugs\SW_SWING_METHODS_INVOKED_IN_SWING_THREAD.html                                            	                  7	                  7	               7	                         7	              115	                             115	            115	                      115	                              643	                               643	                            643	                                      643	                                    745	                                     745	                                  745	                                            745	
org\sonar\l10n\findbugs\rules\findbugs\SWL_SLEEP_WITH_LOCK_HELD.html                                                            	                  3	                  3	               3	                         3	               52	                              52	             52	                       52	                              238	                               238	                            238	                                      238	                                    287	                                     287	                                  287	                                            287	
