27/08/12 17:06
Estatística do projeto

                           	Segmentos	Palavras	Caracteres (sem espaços)	Caracteres (incluindo espaços)	
Total de palavras          	     5089	   44851	                  242711	                        283094	
Restantes:                 	     4290	   42781	                  231239	                        270365	
Únicos:                    	     4268	   41260	                  222459	                        259929	
Segmentos únicos restantes:	     3674	   39486	                  212804	                        249108	


Estatística do arquivo individual:

Nome do arquivo                                                                                                                 	Total de segmentos 	Segmentos restantes	Segmentos únicos	Segmentos únicos restantes	Total de palavras	Palavras restantes para traduzir	Palavras únicas	Palavras únicas restantes	Total de caracteres (sem espaços)	Caracteres restantes (sem espaços)	Caracteres únicos (sem espaços)	Caracteres únicos restantes (sem espaços)	Total de caracteres (incluindo espaços)	Caracteres restantes (incluindo espaços)	Caracteres únicos (incluindo espaços)	Caracteres únicos restantes (incluindo espaços)	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck.html          	                  2	                  2	               2	                         2	               27	                              27	             27	                       27	                              112	                               112	                            112	                                      112	                                    140	                                     140	                                  140	                                            140	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.PackageDeclarationCheck.html           	                  1	                  1	               1	                         1	                6	                               6	              6	                        6	                               34	                                34	                             34	                                       34	                                     39	                                      39	                                   39	                                             39	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck.html          	                  1	                  1	               1	                         1	                4	                               4	              4	                        4	                               31	                                31	                             31	                                       31	                                     34	                                      34	                                   34	                                             34	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.RedundantThrowsCheck.html              	                  1	                  1	               1	                         1	               19	                              19	             19	                       19	                              125	                               125	                            125	                                      125	                                    143	                                     143	                                  143	                                            143	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.html                  	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               42	                                42	                             42	                                       42	                                     50	                                      50	                                   50	                                             50	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheck.html                  	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               54	                                54	                             54	                                       54	                                     63	                                      63	                                   63	                                             63	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanExpressionCheck.html    	                  1	                  1	               1	                         1	                6	                               6	              6	                        6	                               45	                                45	                             45	                                       45	                                     50	                                      50	                                   50	                                             50	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck.html        	                  1	                  1	               1	                         1	                7	                               7	              7	                        7	                               50	                                50	                             50	                                       50	                                     56	                                      56	                                   56	                                             56	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.StringLiteralEqualityCheck.html        	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               45	                                45	                             45	                                       45	                                     55	                                      55	                                   55	                                             55	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.SuperCloneCheck.html                   	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               56	                                56	                             56	                                       56	                                     63	                                      63	                                   63	                                             63	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.SuperFinalizeCheck.html                	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               62	                                62	                             62	                                       62	                                     69	                                      69	                                   69	                                             69	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck.html       	                  1	                  1	               1	                         1	               11	                              11	             11	                       11	                               62	                                62	                             62	                                       62	                                     72	                                      72	                                   72	                                             72	
